ὁ	the
καί	and, also
οὐ	not
οὗτος	this; that
δέ	but
λόγος	the word
ἐγώ	I (first person pronoun)
ἤ1	-
πᾶς	all, the whole
εἰμί	to be
περί	around, round about with gen., dat., and acc.
μή	not
τις	any one, any thing, some one, some thing;
ὅς	who, that, which: relative pronoun
τίς	who? which?
ὡς	as, how
εἰ	conj. if, whether; part. w/wishes, adv. w/imperatives
θεός	god
ἐν	in, among. c. dat.
τε	and
μέν	on the one hand, on the other hand
γάρ	for
εἰς	into, to c. acc.
ὅσος	as much/many as
ἄλλος	other, another
οὕτως	so, in this manner
ὥσπερ	just as if, even as
πρός	(w. gen.) from; (w. dat.) at, near, in addition to; (w. acc.) to, toward, regarding
εἷς	one
διά	through c. gen.; because of c. acc.
ἐπί	on, upon with gen., dat., and acc.
ἡμέτερος	our
ἄν1	-
σύ	you (personal pronoun)
αὐτός	unemph. 3rd pers.pronoun; -self; [the] same
ἀλλά	otherwise, but
καλός	beautiful
μετά	(w gen) with, among; (w acc) after
ἔχω	to have
—	-
κατά	down, against with gen.; according to, throughout with acc.
οὐδέ	and/but not; not even
μηδέ	but not
πολύς	much, many
ἵνα	in order that (conj.); where (rel. adv.)
ἀκοή	a hearing, the sound heard
φέρω	to bear
πρᾶγμα	that which has been done, a deed, act
ἐπεί	after, since, when
ὁδός	a way, path, track, journey
δεῖ	it is necessary
φημί	to say, to claim
παρά	from the side of, c. gen., beside, alongside of, c. dat., to the side of, motion alongside of, c. acc.
λέγω3	-
οὖν	so, then, therefore
γλῶσσα	the tongue
μικρός	small, little
εἶπον	to speak, say
ἀκούω	to hear
ψυχή	breath, soul
σῶμα	the body
οἷος	(such a kind) as; for οἷός τε see οἷος III.2
δύναμις	power, might, strength
οὐδείς	not one, nobody
ἀμαθής	unlearned, ignorant, stupid, boorish
μέγας	big, great
κακός	bad
πλείων	more, larger
ὦ	O! oh!
φιλοσοφέω	to love knowledge, pursue it, philosophise
καιρός	time; the right moment, opportunity
ὑπέρ	over, above, w. gen, over, beyond, w. acc.
ἑαυτοῦ	himself, herself, themselves
ποιέω	to make, to do
γε	at least, at any rate
ἐκεῖνος	that over there, that
πάθος	anything that befalls one, an incident, accident
Παῦλος	-
μόνος	alone, left alone, forsaken solitary
καθά	according as, just as
ὄψις	look, appearance, aspect
πάντως	altogether;
διάνοια	a thought, intention, purpose
λαμβάνω	to take, seize, receive
ὅτι2	conj.: that, because
ὅταν	when, whenever
θεολογία	-
βούλομαι	to will, wish, be willing
μιμνήσκω	to remind
ἐπαινέω	to approve, applaud, commend
κύριος	having power
γίγνομαι	become, be born
κόσμος	order
ἀλλότριος	of/belonging to another
ὑψηλός	high, lofty, high-raised
ἅγιος	devoted to the gods, sacred, holy
αἰσχρός	causing shame, abusive
δίδωμι	to give
καινός	new, fresh
μονή	a staying, abiding, tarrying, stay
βάλλω	to throw
ἀπό	from, away from. c. gen.
γραφή	drawing, writing; indictment
σύ	-
χείρ	the hand
βέβηλος	allowable to be trodden, permitted to human use
ἀντίθεσις	-
χρήσιμος	useful, serviceable, good for use, good, apt
καλέω	to call, summon
ἐπιτίθημι	to lay, put on; (mid.) to attack
γοῦν	at least then, at any rate, any way
ἴσως	equally, in like manner
παράδοξος	contrary to opinion, incredible, paradoxical
γέλοιος	causing laughter, laughable
καταλύω	to put down, destroy; settle (disputes); lodge, rest
δέω1	-
θέατρον	a place for seeing
πάλαισμα	-
νόμος	usage, custom, law, ordinance
πένθος	grief, sadness, sorrow
ἅπας	quite all, the whole
ἄνθος	a blossom, flower
τοσοῦτος	so large, so tall
σπαράσσω	to tear, rend in pieces, mangle
αἰσθητήριον	-
δέχομαι	to take, accept, receive
ἄρα	particle: 'so'
δύναμαι	to be able, capable, strong enough
ζημιόω	to cause loss
ὑμέτερος	your, yours
σπείρω	to sow
ὕλη	wood, material
μᾶλλον	more, rather
θαυμάζω	to wonder, marvel, be astonished
οἶδα	to know
λίαν	very, exceedingly
θρασύς	bold, spirited, courageous, confident
πάντοτε	at all times, always
ὅτε	when
θεωρία	a looking at, viewing, beholding
καθαρός	clear of dirt, clean, spotless, unsoiled
σαθρός	-
σχολή	spare time, leisure, rest, ease; σχολῇ scarcely
γράμμα	(drawing, scratch) letter, character, writing, document
πονηρός	toilsome, painful, grievous
κάλλος	beauty
γαστήρ	the paunch, belly
φωνή	a sound, tone
γῆ	earth
δή	[interactional particle: S&H on same page]
Μωυσῆς	-
μέλι	honey
καίπερ	although, albeit
δοκέω	seem, impers. it seems best..
ἀνήρ	a man
δάκρυον	a tear
ἐνταῦθα	here, there; at that juncture
ἀτιμάζω	to hold in no honour, to esteem lightly, dishonour, slight
ἀδελφός	sons of the same mother
διανοέω	-
ἐχθρός	hated, hateful; enemy
φλόξ	a flame
δόγμα	that which seems to one, an opinion, dogma
εἴτε	whether..or (regardless of whether A or B)
ἀλλήλων	of one another, to one another, one another
μυστικός	-
προσκυνέω	to make obeisance
μῦθος	anything, delivered by word of mouth, word, speech
γέλως	laughter
σιωπή	silence
πικρός	pointed, sharp, keen
ἀκροατής	a hearer
οἴομαι	to suppose, think, deem, imagine
σός	your
θεόλογος	-
νόσος	sickness, disease, malady
χείρων	worse, meaner, inferior
θάνατος	death
ἡδονή	delight, enjoyment, pleasure
ἐναντίος	opposite
ἀσέβεια	ungodliness, impiety, profaneness
διαλεκτικός	skilled in logical argument
πότερος	which of the two?
ὅσπερ	the very man who, the very thing which
κενός	empty
δόξα	a notion
πίστις	trust, belief; pledge, security
κἀν	-
φαίνω	to bring to light, make to appear
στενός	narrow, strait
φιλότιμος	loving honour, covetous of honour, ambitious, emulous
χριστός	to be rubbed on
κομψός	well-dressed
ἄρχω	(to be first) to rule, to begin
ἰδού	-
ὑβρίστρια	-
προσκνάομαι	-
ἤδη	already
ὁράω	to see
χαίρω	to rejoice, be glad, be delighted
κενοφωνία	-
ψευδώνυμος	-
γνῶσις	a (judicial) inquiry, knowledge
λογομαχία	-
περισσός	beyond the regular number
περίεργος	careful overmuch
συντέμνω	-
κῆρυξ	a herald, pursuivant, marshal, public messenger
βεβαιωτής	-
ἁλιεύς	-
μαθητής	a learner, pupil
διδάσκαλος	a teacher, master
εἴθε	-
εὔστροφος	-
δεινός	fearful, terrible, dread, dire
εὐγενής	well-born, of noble race, of high descent
δόκιμος	assayed, examined, tested
πρᾶξις	a doing, transaction, business
ἀσχολέω	-
ἥσσων	less, weaker
σοφιστής	a master of one's craft
κυβιστής	-
ἄτοπος	out of place
εὐσέβεια	reverence towards the gods, piety, religion
βλέπω	to see, have the power of sight
λύω	to loose
προβάλλω	to throw before, throw
δημοσιεύω	-
νίκη	victory
ἄθλησις	-
κλέπτω	to steal, filch, purloin
τοιοῦτος	such as this
συναρπάζω	to seize and carry clean away
ἐπαινέτης	a commender, admirer
ἀγορά	an assembly of the people
περιβομβέω	-
συμπόσιον	a drinking-party, symposium
ἀποκναίω	-
φλυαρία	silly talk, nonsense, foolery
