1	ἀγαθός	good ,
2	ἄγαμαι	to wonder, be astonished ,
3	ἀγανακτέω	to feel irritation ,
4	ἀγαπάω	to treat with affection, to caress, love, be fond of ,
5	ἀγνοέω	not to perceive or know ,
6	ἄγνοια	want of perception, ignorance ,
7	ἀγορά	an assembly of the people ,
8	ἄγω	to lead or carry, to convey, bring ,
9	ἀγών	assembly , contest, trial
10	ἀγωνίζομαι	to contend for a prize ,
11	ἄδεια	freedom from fear ,
12	ἀδελφή	a sister ,
13	ἀδελφιδέος	a brother's or sister's son, a nephew ,
14	ἀδελφός	sons of the same mother ,
15	ἀδικέω	to do wrong ,
16	ἀδίκημα	a wrong done, a wrong ,
17	ἀδικία	wrong-doing, injustice ,
18	ἄδικος	wrong-doing, unrighteous, unjust ,
19	ἀδύνατος	unable ,
20	ἀεί	always, for ever ,
21	ᾄδω	to sing ,
22	ἄκων	against one's will, unwilling ,
23	ἀήρ	the lower air, the air ,
24	ἀθάνατος	undying, immortal ,
25	ἄθλιος	gaining the prize ,
26	αφλρέω	to take with the hand, grasp ,
27	αἴρω	to take up, raise, lift up ,
28	αφισθάνομαι	to perceive, to see, hear, feel ,
29	αἴσθησις	perception by the senses ,
30	αφισχύνη	shame done one, disgrace, dishonour ,
31	αφισχύνω	to make ugly, disfigure, mar ,
32	αφισχρός	causing shame, abusive ,
33	αφιτέω	to ask, beg ,
34	αφιτία	a charge, accusation ,
35	αφιτιάομαι	to charge, accuse, censure, blame ,
36	αἴτιος	to blame, blameworthy, culpable ,
37	ἀκοή	a hearing, the sound heard ,
38	ἀκολουθέω	to follow ,
39	ἀκόλουθος	following, attending on ,
40	ἀκούω	to hear ,
41	ἀκριβής	exact, accurate, precise, made or done to a nicety ,
42	ἀκροάομαι	to hearken to, listen to ,
43	ἀκρόπολις	the upper city ,
44	ἀλήθεια	truth ,
45	ἀληθής	unconcealed, true ,
46	ἁλίσκομαι	to be taken, conquered ,
47	ἀλλά	otherwise, but ,
48	ἀλλήλων	of one another, to one another, one another ,
49	ἄλλου	elsewhere
50	ἄλλοθι	elsewhere, in another place, in a strange ,
51	ἄλλος	alius, another, one besides ,
52	ἀλλότριος	of or belonging to another ,
53	ἄλλως	in another way or manner ,
54	ἄλογος	without lÒgow ,
55	ἅμα	at once, at the same time ,
56	ἀμαθής	unlearned, ignorant, stupid, boorish ,
57	ἀμαθία	ignorance ,
58	ἁμαρτάνω	to miss, miss the mark ,
59	ἁμάρτημα	a failure, fault, sin ,
60	ἀμείνων	better, abler, stronger, braver ,
61	ἀμελέω	to have no care for, be neglectful of ,
62	ἀμύνω	to keep off, ward off ,
63	ἀμφισβητέω	to stand apart ,
64	ἀμφότερος	each or both of two ,
65	ἄμφω	both
66	ἄν	modal particle
67	ἀνά	up, upon ,
68	ἀναβαίνω	to go up, mount, to go up to ,
69	ἀναγιγνώσκω	to know well, know certainly ,
70	ἀναγκάζω	to force, compel ,
71	ἀναγκαῖος	with or by force ,
72	ἀνάγκη	force, constraint, necessity ,
73	ἀναιρέω	to take up, raise ,
74	ἀναλαμβάνω	to take up, take into one's hands ,
75	ἀναλίσκω	to use up, to spend, lavish or squander ,
76	ἀναμιμνήσκω	to remind ,
77	ἀνάξιος	unworthy, not deemed or held worthy of ,
78	ἀνατίθημι	to lay upon ,
79	ἀναφέρω	to bring or carry up ,
80	ἀνδράποδον	one taken in war and sold as a slave, a captive ,
81	ἀνδρεία	manliness, manhood, manly spirit ,
82	ἀνδρεῖος	of or for a man ,
83	ἀνδρόω	to rear up into manhood ,
84	ἄνευ	without ,
85	ἀνέχω	to hold up ,
86	ἀνεψιός	a first-cousin, cousin ,
87	ἀνήρ	a man ,
88	ἀνθρώπινος	of, from or belonging to man, human ,
89	ἄνθρωπος	man ,
90	ἀνίστημι	to make to stand up, raise up ,
91	ἀνόητος	not thought on, unheard of ,
92	ἀνόμοιος	unlike, dissimilar ,
93	ἀνόσιος	unholy, profane ,
94	ἀντεῖπον	to speak against or in answer, gainsay ,
95	ἀντί	over against, opposite. c. gen. ,
96	ἀντιλέγω	to speak against, gainsay, contradict ,
97	ἄνω	,
98	ἀξία	the worth or value ,
99	ἄξιος	weighing as much, of like value, worth as much as ,
100	ἀξιόω	to think or deem worthy of ,
101	ἀπαγγέλλω	to bring tidings, report, announce ,
102	ἀπάγω	to lead away, carry off ,
103	ἄπαις	childless ,
104	ἀπαλλάσσω	to set free, release, deliver ,
105	ἀπαντάω	to move from ,
106	ἅπαξ	once, once only, once for all ,
107	ἅπας	quite all, the whole ,
108	ἄπειμι	be absent,
109	ἄπειρος	infinite ,
110	ἀπεργάζομαι	to finish off, turn out complete ,
111	ἀπέρχομαι	to go away, depart from ,
112	ἀπέχω	to keep off or away from ,
113	ἀπιστέω	to be êpistow ,
114	ἄπιστος	not to be trusted , not trusting
115	ἀπό	from, away from. c. gen. ,
116	ἀποβλέπω	to look away from ,
117	ἀπογράφω	to write off, copy: to enter in a list, register ,
118	ἀποδείκνυμι	to point away from ,
119	ἀποδέχομαι	to accept from ,
120	ἀποδίδωμι	to give up or back, restore, return ,
121	ἀποθνήσκω	to die off, die ,
122	ἀποκρίνω	to separate, set apart ,
123	ἀποκτείνω	to kill, slay ,
124	ἀπολαμβάνω	to take or receive from ,
125	ἀπολείπω	to leave over or behind ,
126	ἀπόλλυμι	to destroy utterly, kill, slay ,
127	ἀπολογέομαι	to speak in defence, defend oneself ,
128	ἀπολογία	a speech in defence, defence ,
129	ἀπολύω	to loose from ,
130	ἀπορέω	to be without means or resource ,
131	ἀπορία	difficulty of passing ,
132	ἄπορος	without passage ,
133	ἀποστερέω	to rob, despoil, bereave or defraud ,
134	ἀποτελέω	to bring quite to an end, complete ,
135	ἀποφαίνω	to shew fort, display, produce ,
136	ἀποφεύγω	to flee from, escape ,
137	ἀποψηφίζομαι	to vote away from ,
138	ἅπτω	to fasten, bind fast ,
139	ἆρα	particle introducing a question ,
140	ἄρα	,
141	ἀργύριον	a piece of silver, a silver coin ,
142	ἀρέσκω	to make good, make up ,
143	ἀρετάω	to be fit or proper, to thrive, prosper ,
144	ἀρετή	goodness, excellence ,
145	ἀριθμός	number ,
146	ἄριστον	the morning meal, breakfast ,
147	ἄριστος	best ,
148	ἁρμόζω	to fit together, join ,
149	ἁρμονία	a fastening ,
150	ἀρόω	to plough ,
151	ἄρτι	just, exactly ,
152	ἄρτιος	complete, perfect of its kind, suitable, exactly fitted,
153	ἀρχαῖος	from the beginning ,
154	ἀρχή	a beginning, origin, first cause ,
155	ἀρχήν	at all', überhaupt,
156	ἄρχω	to be first ,
157	ἄρχων	a ruler, commander, chief, captain ,
158	ἀσεβέω	to be impious, to act profanely, sin against the gods
159	ἀσθενής	without strength, weak, feeble, weakly ,
160	ἄστυ	a city, town ,
161	ἀσφαλής	not liable to fall, immoveable, steadfast, firm ,
162	ἅτε	just as, so as ,
163	ἀτελής	without end ,
164	ἄτοπος	out of place ,
165	ἄττα	father ,
166	αὖ	on the other hand, 'again'
167	αὖθις	back, back again ,
168	αὐξάνω	to make large, increase, augment ,
169	αὐτίκα	forthwith, straightway, at once ,
170	αὐτός	self ,
171	αὐτοῦ	at the very place, just here, just there ,
172	ἀφίημι	to send forth, discharge ,
173	ἀφικνέομαι	to come to ,
174	ἀφίστημι	to put away, remove ,
175	ἀφοράω	to look away from ,
176	ἄφρων	without sense ,
177	βαδίζω	to go slowly, to walk ,
178	βαρβαρόομαι	to become barbarous ,
179	βάρβαρος	barbarous ,
180	βαρύς	heavy ,
181	βασανίζω	to rub ,
182	βάσανος	the touch-stone ,
183	βασιλεύς	a king, chief ,
184	βασιλικός	royal, kingly ,
185	βέβαιος	firm, steady, steadfast, sure, certain ,
186	βεβαιόω	to make firm, confirm, establish, secure, warrant,
187	βέλτιστος	best ,
188	βελτίων	better ,
189	βῆμα	a step, pace, stride ,
190	βία	bodily strength, force, power, might ,
191	βιάζω	to constrain ,
