1	égayÒw	good ,
2	êgamai	to wonder, be astonished ,
3	éganakt°v	to feel irritation ,
4	égapãv	to treat with affection, to caress, love, be fond of ,
5	égno°v	not to perceive or know ,
6	êgnoia	want of perception, ignorance ,
7	égorã	an assembly of the people ,
8	êgv	to lead or carry, to convey, bring ,
9	ég≈n	assembly , contest, trial
10	égvn¤zomai	to contend for a prize ,
11	êdeia	freedom from fear ,
12	édelfÆ	a sister ,
13	édelfid°ow	a brother's or sister's son, a nephew ,
14	édelfÒw	sons of the same mother ,
15	édik°v	to do wrong ,
16	éd¤khma	a wrong done, a wrong ,
17	édik¤a	wrong-doing, injustice ,
18	êdikow	wrong-doing, unrighteous, unjust ,
19	édÊnatow	unable ,
20	ée¤	always, for ever ,
21	õdv	to sing ,
22	êkvn	against one's will, unwilling ,
23	éÆr	the lower air, the air ,
24	éyãnatow	undying, immortal ,
25	êyliow	gaining the prize ,
26	aflr°v	to take with the hand, grasp ,
27	a‡rv	to take up, raise, lift up ,
28	afisyãnomai	to perceive, to see, hear, feel ,
29	a‡syhsiw	perception by the senses ,
30	afisxÊnh	shame done one, disgrace, dishonour ,
31	afisxÊnv	to make ugly, disfigure, mar ,
32	afisxrÒw	causing shame, abusive ,
33	afit°v	to ask, beg ,
34	afit¤a	a charge, accusation ,
35	afitiãomai	to charge, accuse, censure, blame ,
36	a‡tiow	to blame, blameworthy, culpable ,
37	ékoÆ	a hearing, the sound heard ,
38	ékolouy°v	to follow ,
39	ékÒlouyow	following, attending on ,
40	ékoÊv	to hear ,
41	ékribÆw	exact, accurate, precise, made or done to a nicety ,
42	ékroãomai	to hearken to, listen to ,
43	ékrÒpoliw	the upper city ,
44	élÆyeia	truth ,
45	élhyÆw	unconcealed, true ,
46	èl¤skomai	to be taken, conquered ,
47	éllã	otherwise, but ,
48	éllÆlvn	of one another, to one another, one another ,
49	êllou	elsewhere
50	êlloyi	elsewhere, in another place, in a strange ,
51	êllow	alius, another, one besides ,
52	éllÒtriow	of or belonging to another ,
53	êllvw	in another way or manner ,
54	êlogow	without lÒgow ,
55	ëma	at once, at the same time ,
56	émayÆw	unlearned, ignorant, stupid, boorish ,
57	émay¤a	ignorance ,
58	èmartãnv	to miss, miss the mark ,
59	èmãrthma	a failure, fault, sin ,
60	éme¤nvn	better, abler, stronger, braver ,
61	émel°v	to have no care for, be neglectful of ,
62	émÊnv	to keep off, ward off ,
63	émfisbht°v	to stand apart ,
64	émfÒterow	each or both of two ,
65	êmfv	both
66	ên	modal particle
67	énã	up, upon ,
68	énaba¤nv	to go up, mount, to go up to ,
69	énagign≈skv	to know well, know certainly ,
70	énagkãzv	to force, compel ,
71	énagka›ow	with or by force ,
72	énãgkh	force, constraint, necessity ,
73	énair°v	to take up, raise ,
74	énalambãnv	to take up, take into one's hands ,
75	énal¤skv	to use up, to spend, lavish or squander ,
76	énamimnÆskv	to remind ,
77	énãjiow	unworthy, not deemed or held worthy of ,
78	énat¤yhmi	to lay upon ,
79	énaf°rv	to bring or carry up ,
80	éndrãpodon	one taken in war and sold as a slave, a captive ,
81	éndre¤a	manliness, manhood, manly spirit ,
82	éndre›ow	of or for a man ,
83	éndrÒv	to rear up into manhood ,
84	êneu	without ,
85	én°xv	to hold up ,
86	éneciÒw	a first-cousin, cousin ,
87	énÆr	a man ,
88	ényr≈pinow	of, from or belonging to man, human ,
89	ênyrvpow	man ,
90	én¤sthmi	to make to stand up, raise up ,
91	énÒhtow	not thought on, unheard of ,
92	énÒmoiow	unlike, dissimilar ,
93	énÒsiow	unholy, profane ,
94	énte›pon	to speak against or in answer, gainsay ,
95	ént¤	over against, opposite. c. gen. ,
96	éntil°gv	to speak against, gainsay, contradict ,
97	ênv	,
98	éj¤a	the worth or value ,
99	êjiow	weighing as much, of like value, worth as much as ,
100	éjiÒv	to think or deem worthy of ,
101	épagg°llv	to bring tidings, report, announce ,
102	épãgv	to lead away, carry off ,
103	êpaiw	childless ,
104	épallãssv	to set free, release, deliver ,
105	épantãv	to move from ,
106	ëpaj	once, once only, once for all ,
107	ëpaw	quite all, the whole ,
108	êpeimi	be absent,
109	êpeirow	infinite ,
110	épergãzomai	to finish off, turn out complete ,
111	ép°rxomai	to go away, depart from ,
112	ép°xv	to keep off or away from ,
113	épist°v	to be êpistow ,
114	êpistow	not to be trusted , not trusting
115	épÒ	from, away from. c. gen. ,
116	épobl°pv	to look away from ,
117	épogrãfv	to write off, copy: to enter in a list, register ,
118	épode¤knumi	to point away from ,
119	épod°xomai	to accept from ,
120	épod¤dvmi	to give up or back, restore, return ,
121	époynÆskv	to die off, die ,
122	épokr¤nv	to separate, set apart ,
123	épokte¤nv	to kill, slay ,
124	épolambãnv	to take or receive from ,
125	épole¤pv	to leave over or behind ,
126	épÒllumi	to destroy utterly, kill, slay ,
127	épolog°omai	to speak in defence, defend oneself ,
128	épolog¤a	a speech in defence, defence ,
129	épolÊv	to loose from ,
130	épor°v	to be without means or resource ,
131	épor¤a	difficulty of passing ,
132	êporow	without passage ,
133	époster°v	to rob, despoil, bereave or defraud ,
134	épotel°v	to bring quite to an end, complete ,
135	épofa¤nv	to shew fort, display, produce ,
136	épofeÊgv	to flee from, escape ,
137	épochf¤zomai	to vote away from ,
138	ëptv	to fasten, bind fast ,
139	îra	particle introducing a question ,
140	êra	,
141	érgÊrion	a piece of silver, a silver coin ,
142	ér°skv	to make good, make up ,
143	éretãv	to be fit or proper, to thrive, prosper ,
144	éretÆ	goodness, excellence ,
145	ériymÒw	number ,
146	êriston	the morning meal, breakfast ,
147	êristow	best ,
148	èrmÒzv	to fit together, join ,
149	èrmon¤a	a fastening ,
150	érÒv	to plough ,
151	êrti	just, exactly ,
152	êrtiow	complete, perfect of its kind, suitable, exactly fitted,
153	érxa›ow	from the beginning ,
154	érxÆ	a beginning, origin, first cause ,
155	érxÆn	at all', überhaupt,
156	êrxv	to be first ,
157	êrxvn	a ruler, commander, chief, captain ,
158	éseb°v	to be impious, to act profanely, sin against the gods
159	ésyenÆw	without strength, weak, feeble, weakly ,
160	êstu	a city, town ,
161	ésfalÆw	not liable to fall, immoveable, steadfast, firm ,
162	ëte	just as, so as ,
163	ételÆw	without end ,
164	êtopow	out of place ,
165	êtta	father ,
166	aÔ	on the other hand, 'again'
167	aÔyiw	back, back again ,
168	aÈjãnv	to make large, increase, augment ,
169	aÈt¤ka	forthwith, straightway, at once ,
170	aÈtÒw	self ,
171	aÈtoË	at the very place, just here, just there ,
172	éf¤hmi	to send forth, discharge ,
173	éfikn°omai	to come to ,
174	éf¤sthmi	to put away, remove ,
175	éforãv	to look away from ,
176	êfrvn	without sense ,
177	bad¤zv	to go slowly, to walk ,
178	barbarÒomai	to become barbarous ,
179	bãrbarow	barbarous ,
180	barÊw	heavy ,
181	basan¤zv	to rub ,
182	bãsanow	the touch-stone ,
183	basileÊw	a king, chief ,
184	basilikÒw	royal, kingly ,
185	b°baiow	firm, steady, steadfast, sure, certain ,
186	bebaiÒv	to make firm, confirm, establish, secure, warrant,
187	b°ltistow	best ,
188	belt¤vn	better ,
189	b∞ma	a step, pace, stride ,
