ORDER|LEMMA|DCC HEADWORD|DCC DEFINITION|DCC POS|DCC SEMANTIC GROUP|DCC RANK|GE LEMMA(S)|Campbell
1|ὁ|ὁ ἡ τό|the|definite article|Pronouns/Interrogatives|1|ὁ ἡ τό|1440. ὁ ἡ τό [V]
2|καί|καί|and, also, even; καί...καί both...and|conjunction: coordinating|Conjunctions/Adverbs|3|καί|1429. καί [V]
3|δέ|δέ|and; but|conjunction: coordinating|Particles|4|δέ|1402. δέ [V]
4|αὐτός|αὐτός αὐτή αὐτό|him- her- itself etc. (for emphasis); the same (with article); (pron.) him, her, it etc. (in oblique cases)|adjective: 1st and 2nd declension|Pronouns/Interrogatives|2|αὐτός|1398. αὐτός -ή -ό [V]
5|εἰμί|εἰμί, ἔσομαι, impf. ἦν, infin. εἶναι|be, exist|verb: irregular|Humanity and Being|6|εἰμί|1338. εἶναι [IV.E.1/1]
6|ὅς|ὅς ἥ ὅ|who, which, that|pronoun|Pronouns/Interrogatives|12|1. ὅς|1454. ὅς ἥ ὅ [V]
7|οὗτος|οὗτος αὕτη τοῦτο|this, these; μετὰ ταῦτα after this|pronoun|Pronouns/Interrogatives|7|οὗτος|1468. οὗτος αὕτη τοῦτο [V]
8|ἐγώ|ἐγώ ἐμοῦ, (pl.) ἡμεῖς, ἡμῶν|I, we|pronoun|Pronouns/Interrogatives|21|ἐγώ|1409. ἐγώ [V]
9|ἐν|ἐν|in, among (+dat.)|preposition|Direction|9|ἐν|776. ἐν [III]
10|οὐ|οὐ, οὐκ, οὐχ|not (with indicative verbs)|adverb|Conjunctions/Adverbs|14|οὐ|820. οὐ [III]
11|λέγω|λέγω, ἐρῶ, εἶπον, εἴρηκα, λέλεγμαι, ἐλέχθην and ἐρρήθην|say, speak (of), recount; pick up, collect, count|verb: -ω palatal stem|Writing and Talking|15|λέγω|981. λέγειν [IV.A.1]
12|σύ|σύ, σοῦ, (pl.) ὑμεῖς, ὑμῶν|you|pronoun|Pronouns/Interrogatives|35|σῠ́|1487. σύ [V]
13|μέν|μέν...δέ|on the one hand...on the other hand (often untranslated); μέν (by itself) indeed|conjunction: coordinating|Particles|10|μέν|1433. μέν [V]
14|τις|τις τι|someone, something, anyone, anything, some, any (enclitic indef. pron./adj.)|pronoun|Pronouns/Interrogatives|11|τῐς|1491. τις* neut. τι [V]
