ORDER|LEMMA|COUNT|COVERAGE|SHORT DEF
1|ὁ|52750|11.25|the
2|καί|25712|16.74|and, also
3|δέ|12747|19.46|but
4|αὐτός|10923|21.79|unemph. 3rd pers.pronoun; -self; [the] same
5|εἰμί|9888|23.89|to be
6|ὅς|8193|25.64|who, that, which: relative pronoun
7|οὗτος|7226|27.18|this; that
8|ἐγώ|7032|28.68|I (first person pronoun)
9|ἐν|5534|29.86|in, among. c. dat.
10|οὐ|5463|31.03|not
11|λέγω|5415|32.18|to pick; to say
12|σύ|4677|33.18|you (personal pronoun)
13|μέν|4663|34.18|on the one hand, on the other hand
14|τις|4495|35.13|any one, any thing, some one, some thing;
15|γάρ|3989|35.99|for
16|εἰς|3882|36.81|into, to c. acc.
17|τε|3464|37.55|and
18|ὅτι2|3098|38.21|conj.: that, because
19|ὅτι|3096|38.87|adv. + superl., as...as possible; ὅτι μή except
20|ἀλλά|2966|39.51|otherwise, but
21|πᾶς|2952|40.14|all, the whole
22|ὡς|2864|40.75|as, how
23|μή|2790|41.34|not
24|ἔχω|2567|41.89|to have
25|γίγνομαι|2511|42.43|become, be born
26|ἐπί|2484|42.96|on, upon with gen., dat., and acc.
27|ὅς2|2475|43.48|[possessive pronoun]
28|ἄλλος|2331|43.98|other, another
29|πολύς|2302|44.47|much, many
30|ἐκ|2263|44.95|from out of
31|εἰ|2255|45.44|conj. if, whether; part. w/wishes, adv. w/imperatives
32|πρός|2219|45.91|(w. gen.) from; (w. dat.) at, near, in addition to; (w. acc.) to, toward, regarding
33|ποιέω|2209|46.38|to make, to do
34|φημί|2186|46.85|to say, to claim
35|ἄν|2020|47.28|modal particle
36|περί|1908|47.68|around, round about with gen., dat., and acc.
37|θεός|1899|48.09|god
38|οὖν|1883|48.49|so, then, therefore
39|αὐτοῦ|1878|48.89|at the very place, just here, just there
40|ὑμός|1756|49.27|your
41|τῷ|1751|49.64|therefore, in this wise, thereupon
42|ἐάν|1683|50|if
43|εἶπον|1542|50.33|to speak, say
44|διά|1525|50.65|through c. gen.; because of c. acc.
45|δή|1505|50.97|[interactional particle: S&H on same page]
