*a,Α
a)1,ἀ1
a)2,ἀ2
a)=3,ἆ3
a(\,ἃ
a)/a,ἄα
a)a/atos,ἀάατος
a)a/baktoi,ἀάβακτοι
a)agh/s,ἀαγής
a)/ada,ἄαδα
a)a/zw,ἀάζω
a)/aqi,ἄαθι
a)a/katos,ἀάκατος
a)aki/dwtos,ἀακίδωτος
a)a/lion,ἀάλιον
a)ane/s,ἀανές
a)/anqa,ἄανθα
a)a/pletos,ἀάπλετος
a)/aptos,ἄαπτος
a)/as,ἄας
a)asifo/ros,ἀασιφόρος
a)asifroni/a,ἀασιφρονία
a)asifrosu/nh,ἀασιφροσύνη
a)a/skei,ἀάσκει
a)asmo/s,ἀασμός
a)a/spetos,ἀάσπετος
a)a/stona,ἀάστονα
a)ath/r,ἀατήρ
a)/atos1,ἄατοσ
a)/atos2,ἄατος
a)a/tulon,ἀάτυλον
a)a/w,ἀάω
a)/ba,ἄβα
a)/bagna,ἄβαγνα
a)baqh/s,ἀβαθής
a)/baqros,ἄβαθρος
a)bai/nw,ἀβαίνω
a)bake/w,ἀβακέω
a)bakhnou/s,ἀβακηνούς
a)bakh/s,ἀβακής
a)ba/khton,ἀβάκητον
a)baki/zomai,ἀβακίζομαι
a)ba/kion,ἀβάκιον
a)baki/skos,ἀβακίσκος
a)baklh/,ἀβακλή
a)bakoeidh/s,ἀβακοειδής
a)/bakton,ἄβακτον
a)ba/kxeutos,ἀβάκχευτος
a)bakxi/wtos,ἀβακχίωτος
a)/bale,ἄβαλε
a)bamba/keutos,ἀβαμβάκευτος
a)/bac,ἄβαξ
a)ba/ptistos,ἀβάπτιστος
a)/baptos,ἄβαπτος
a)barba/ristos,ἀβαρβάριστος
a)barh/s,ἀβαρής
a)/baris,ἄβαρις
a)basa/nistos,ἀβασάνιστος
a)basi/leutos,ἀβασίλευτος
a)baska/nistos,ἀβασκάνιστος
a)ba/skanos,ἀβάσκανος
a)ba/skantos,ἀβάσκαντος
a)ba/staktos,ἀβάστακτος
a)/baston,ἄβαστον
a)bato/omai,ἀβατόομαι
a)/batos,ἄβατος
a)bafh/s,ἀβαφής
a)/bdelon,ἄβδελον
