ἀγαθός, ἀγαθή, ἀγαθόν	good
ἀγγέλλω, ἀγγελῶ, ἤγγειλα, ἠγγέλθην	I announce
ἄγγελος, ἀγγέλου, ὁ	messenger
ἀγορά, ἀγορᾶς, ἡ	market-place
ἀγρός, ἀγροῦ, ὁ	field, countryside
ἄγω, ἄξω, ἤγαγον, ἤχθην	I lead, bring
ἀγών, ἀγῶνος, ὁ	contest, trial
ἀδικέω	I do wrong, injure
ἄδικος, ἄδικος, ἄδικον	unjust, wrong
ἀεί	always
᾿Аθῆναι, ᾿Аθηνῶν, αἱ	Athens
᾿Аθηναῖοι, ᾿Аθηναίων, οἱ	the Athenians
᾿Аθηναῖος, ᾿Аθηναῖα, ᾿Аθηναῖον	Athenian
ἆθλον, ἄθλου, τό	prize, reward
αἱρέω, αἱρήσω, εἷλον, ᾑρέθην	I take
αἰσθάνομαι, αἰσθήσομαι, ᾐσθόμην	I notice, perceive
αἰσχρός, αἰσχρά, αἰσχρόν	shameful, ugly, disgraceful
αἰτέω	I ask, ask for
αἴτιος, αἰτία, αἴτιον + gen	responsible for, guilty of
αἰχμάλωτος, αἰχμαλώτου, ὁ	prisoner (of war)
ἀκούω, ἀκούσομαι, ἤκουσα, ἠκούσθην	I hear, listen
ἀληθής, ἀληθής, ἀληθές	true
ἀλλά	but
ἄλλος, ἄλλη, ἄλλο	other, another
ἄν	"[in conditional sentence, makes aorist verb mean ‘would have …’]
"
ἀνά + acc	up
ἀναγκάζω, ἀναγκάσω, ἠνάγκασα, ἠναγκάσθην	I force, compel
ἀναχωρέω	I retreat, withdraw
ἀνδρεῖος, ἀνδρεία, ἀνδρεῖον	brave, manly
ἄνεμος, ἀνέμου, ὁ	wind
ἄνευ + gen	without
ἀνήρ, ἀνδρός, ὁ	man, husband
ἄνθρωπος, ἀνθρώπου, ὁ	man, person
ἄξιος, ἀξία, ἄξιον + gen	worthy of, deserving
ἀπό + gen	from, away from
ἀποθνῄσκω, ἀποθανοῦμαι, ἀπέθανον	I die, am killed
ἀποκρίνομαι, ἀποκρινοῦμαι, ἀπεκρινάμην	I reply, answer
ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα	I kill
ἆρα; 	[introduces a question]
ἄρχή, ἀρχῆς, ἡ	beginning, rule, power, empire
ἄρχω + gen	I rule
ἄρχομαι + gen	I begin
ἄρχων, ἄρχοντος , ὁ	ruler, magistrate
ἀσθενής, ἀσθενής, ἀσθενές	weak
ἀσπίς, ἀσπίδος, ἡ	shield
ἀσφαλής, ἀσφαλής, ἀσφαλές	safe
αὖθις	again, in turn
αὐτος, αὐτή, αὐτό	self, himself, herself, itself (emphatic)
ὁ αὐτός, ἡ αὐτή, τὸ αὐτό	the same
αὐτόν, αὐτήν, αὐτό (acc/gen/dat only – also plural) 	him, her, it, them
ἀφικνέομαι, ἀφίξομαι, ἀφικόμην	I arrive
βαίνω, βήσομαι, ἔβην	I go
βάλλω, βαλῶ, ἔβαλον, ἐβλήθην	I throw, fire at, hit (with missile)
βάρβαροι, βαρβάρων, οἱ	foreigners, barbarians, non-Greek
βασιλεύς, βασιλέως, ὁ	king
βία, βίας, ἡ	force, strength
